cache size, LRU, LRU Approx, Random, FIFO
10, 10.550000, 11.050000, 10.860000, 11.030000
11, 12.559999, 12.600000, 12.520000, 12.549999
12, 13.690000, 13.620000, 13.480000, 13.590000
13, 14.520000, 14.490000, 14.460000, 14.430000
14, 15.500000, 15.379999, 16.010000, 15.270000
15, 16.370001, 16.529999, 16.650000, 16.360001
16, 17.290001, 17.389999, 17.120001, 17.690001
17, 18.449999, 18.610001, 18.430000, 18.529999
18, 19.420000, 19.570000, 19.689999, 19.380001
19, 20.460001, 20.469999, 19.990000, 20.550001
20, 21.500000, 21.650000, 21.240000, 21.439999
21, 22.420000, 22.600000, 22.170000, 22.470001
22, 23.520000, 23.720001, 23.299999, 23.590000
23, 24.600000, 24.480000, 24.439999, 24.549999
24, 25.540001, 25.520000, 25.009998, 25.560001
25, 26.570002, 26.570002, 25.570000, 26.440001
26, 27.480000, 27.630001, 26.460001, 27.490000
27, 28.630001, 28.610001, 28.049999, 28.549999
28, 29.539999, 29.530001, 28.750000, 29.499998
29, 30.559999, 30.540001, 29.830000, 30.360001
30, 31.560001, 31.549999, 30.899998, 30.980000
31, 32.400002, 32.270000, 32.370003, 31.950001
32, 33.430000, 33.320000, 32.709999, 32.900002
33, 34.259998, 34.110001, 34.439999, 33.809998
34, 35.160000, 34.990002, 34.860001, 34.650002
35, 36.000000, 35.680000, 35.810001, 35.480000
36, 36.959999, 36.529999, 36.459999, 36.649998
37, 37.820000, 37.779999, 37.480000, 37.349998
38, 38.710003, 38.800003, 38.570000, 38.200001
39, 39.759998, 39.689999, 39.070000, 39.020000
40, 40.910000, 40.480000, 40.400002, 39.680000
41, 41.810001, 41.160000, 41.500000, 40.970001
42, 42.860001, 41.990002, 42.329998, 42.040001
43, 43.599998, 42.799999, 43.349998, 43.139999
44, 44.369999, 44.060001, 44.139999, 44.090000
45, 45.250000, 45.060001, 45.100002, 45.150002
46, 46.160000, 46.119999, 46.149998, 46.090000
47, 47.000000, 47.009998, 46.239998, 46.930000
48, 47.930000, 47.880001, 48.789997, 47.720001
49, 49.000000, 48.859997, 48.989998, 48.989998
50, 49.939999, 50.040001, 49.590000, 49.779999
51, 50.930000, 50.940002, 50.510002, 50.700005
52, 51.790001, 52.060001, 52.109997, 51.910000
53, 52.799999, 52.770000, 52.799999, 52.759998
54, 53.750004, 53.640003, 53.710003, 53.840000
55, 54.720001, 54.840000, 54.590000, 54.689999
56, 55.729996, 55.540001, 55.559998, 55.620003
57, 56.610001, 56.570000, 56.580002, 56.900002
58, 57.489998, 57.459999, 57.650002, 57.799999
59, 58.389999, 58.499996, 58.389999, 58.600002
60, 59.170002, 59.549999, 59.340000, 59.469997
61, 60.140003, 60.750000, 60.770000, 60.070004
62, 61.070000, 61.470001, 61.459999, 61.489998
63, 62.139999, 62.449997, 62.580002, 62.159996
64, 63.169998, 63.620003, 63.620003, 63.190002
65, 63.950001, 64.630005, 63.470001, 64.300003
66, 65.060005, 65.430000, 64.150002, 65.180000
67, 65.860001, 66.360001, 65.970001, 65.979996
68, 67.040001, 66.909996, 66.820000, 66.849998
69, 67.919998, 67.849998, 67.820000, 67.760002
70, 68.910004, 69.000000, 68.529999, 68.379997
71, 69.950005, 69.940002, 69.630005, 69.440002
72, 71.030006, 70.820000, 70.870003, 70.389999
73, 71.979996, 71.830002, 71.919998, 71.529999
74, 72.839996, 72.889999, 72.470001, 73.110001
75, 73.809998, 74.099998, 73.869995, 73.720001
76, 74.580002, 74.529999, 74.479996, 74.720001
77, 75.470001, 75.430000, 75.199997, 75.889999
78, 76.580002, 76.250000, 76.190002, 76.760002
79, 77.590004, 77.560005, 77.200005, 77.889999
80, 78.339996, 78.369995, 77.820000, 78.949997
81, 79.290001, 79.089996, 78.440002, 79.720001
82, 80.220001, 80.180000, 80.019997, 80.970001
83, 81.220001, 81.010002, 81.199997, 81.849998
84, 82.250000, 82.380005, 81.770004, 82.709999
85, 83.190002, 83.099998, 82.880005, 83.500000
86, 84.260002, 84.040001, 84.190002, 84.270004
87, 85.199997, 84.989998, 84.720001, 85.779999
88, 86.009995, 86.009995, 85.329994, 85.900002
89, 86.909996, 87.550003, 86.089996, 87.159996
90, 87.959999, 88.700005, 87.360001, 88.010002
91, 88.959999, 89.190002, 87.110001, 89.639999
92, 89.930000, 90.010002, 88.050003, 90.130005
93, 91.000000, 91.110001, 90.270004, 91.169998
94, 92.119995, 92.150002, 90.419998, 92.589996
95, 93.129997, 93.110001, 91.099998, 93.169998
96, 94.059998, 94.080002, 92.239998, 94.000000
97, 95.040001, 95.279999, 93.199997, 95.029999
98, 96.090004, 95.750000, 93.589996, 95.700005
99, 97.019997, 96.879997, 93.570000, 96.959999
100, 97.879997, 97.779999, 95.340004, 97.759995
